PlayerId,GameDate,Opponent,BattingAvg,PlateAppereances,AtBats,Runs,Hits,RunsBattedIn,Doubles,Triples,Homerun,Class
9,03/11,Hamilton,0.333,4,3,1,1,2,1,0,0,Sophmore
9,03/15,Dalton,0.333,3,3,1,1,0,0,0,0,Sophmore
9,03/17,St. Marks,0,4,3,1,0,0,0,0,0,Sophmore
9,03/18,Carrollton,0,4,3,0,0,0,0,0,0,Sophmore
9,03/22,Ridgeway,0,3,3,1,0,2,0,0,0,Sophmore
10,02/17,Chapel Hill,0,2,1,1,0,1,0,0,0,Jr
10,02/23,Lithia Springs,0,4,2,0,0,0,0,0,0,Jr
10,03/03,Mt. Zion,0,3,1,2,0,3,0,0,0,Jr
10,03/08,Pebblebrook,0.75,4,4,1,3,1,0,0,0,Jr
10,03/09,Meadowcreek,0.667,3,3,0,2,2,0,0,0,Jr
10,03/11,Hamilton,0,2,2,0,0,0,0,0,0,Jr
10,03/15,Dalton,1,1,1,1,1,1,1,0,0,Jr
10,03/17,St. Marks,0,3,2,0,0,0,0,0,0,Jr
10,03/18,Carrollton,0,4,4,0,0,0,0,0,0,Jr
10,03/22,Ridgeway,0.333,5,3,0,1,0,0,0,0,Jr
11,02/17,Chapel Hill,1,4,4,3,4,4,1,0,1,Sophmore
11,02/23,Lithia Springs,0.25,4,4,1,1,0,0,0,0,Sophmore
11,03/03,Mt. Zion,0.25,4,4,1,1,0,1,0,0,Sophmore
11,03/08,Pebblebrook,0,4,4,1,0,0,0,0,0,Sophmore
11,03/09,Meadowcreek,0.75,4,4,1,3,2,0,0,0,Sophmore
11,03/11,Hamilton,0.6,5,5,2,3,2,1,0,0,Sophmore
11,03/15,Dalton,0.5,4,4,2,2,1,0,0,0,Sophmore
11,03/17,St. Marks,0,5,4,0,0,0,0,0,0,Sophmore
11,03/18,Carrollton,0,4,3,1,0,0,0,0,0,Sophmore
11,03/22,Ridgeway,0.5,4,2,2,1,0,1,0,0,Sophmore
